39.0, 51.0, 135.0, 527.0
135.0, 527.0, 332.0, 584.0
332.0, 584.0, 462.0, 490.0
462.0, 490.0, 678.0, 549.0
678.0, 549.0, 765.0, 376.0
766.0, 376.0, 733.0, 80.0
733.0, 80.0, 525.0, 33.0
525.0, 33.0, 394.0, 129.0
394.0, 129.0, 241.0, 71.0
241.0, 71.0, 37.0, 53.0
134.0, 128.0, 197.0, 435.0
197.0, 435.0, 297.0, 483.0
296.0, 482.0, 426.0, 384.0
426.0, 384.0, 619.0, 452.0
619.0, 452.0, 675.0, 348.0
675.0, 348.0, 666.0, 153.0
666.0, 153.0, 556.0, 110.0
556.0, 110.0, 421.0, 212.0
421.0, 212.0, 246.0, 133.0
245.0, 133.0, 133.0, 132.0
